Time_Taken,Extinguisher_Used,Incorrect_Actions,Aiming_Accuracy,Distance_From_Fire,Assessment_Time,Movement_Speed,High_Temp_Time,Outcome
60,10,2,0.48,4.6,6,0.5,25,0
45,10,9,0.61,1.1,8,0.6,5,1
60,10,1,0.34,4.1,7,1.5,52,1
34,7.7,10,0.38,3.0,15,0.9,15,1
42,10,4,0.84,2.3,12,1.0,25,1
42,10,0,0.57,4.8,12,0.4,6,1
60,10,8,0.33,3.9,11,0.4,37,1
41,10,5,0.42,2.6,8,0.8,6,1
60,10,10,0.66,3.2,7,1.3,52,0
38,10,9,0.84,1.6,7,0.4,16,1
35,8.1,6,0.4,1.9,14,1.2,7,1
60,10,7,0.83,1.3,8,0.5,9,0
36,10,5,0.68,3.3,6,0.3,11,1
60,10,7,0.93,1.3,13,0.8,37,0
58,10,0,0.61,3.4,6,1.3,36,1
60,10,8,0.47,1.9,15,0.7,41,0
32,7.9,9,0.83,4.7,13,0.8,19,1
60,10,3,0.61,4.0,15,1.5,8,0
60,10,1,0.71,2.3,13,1.0,31,0
60,10,3,0.92,1.1,9,0.8,9,0
60,10,6,0.61,2.0,11,1.1,30,0
60,10,5,0.73,4.9,10,1.1,27,1
60,10,9,0.48,2.3,9,1.4,12,0
60,10,10,0.46,2.2,7,0.3,37,0
59,10,9,0.34,4.1,13,0.5,30,1
51,10,8,0.73,4.1,6,0.8,26,1
48,10,6,0.96,3.1,5,1.3,25,1
39,10,5,0.5,2.0,9,1.4,7,1
57,10,8,0.4,3.4,10,1.1,26,1
54,10,7,0.92,2.5,13,0.7,36,1
56,10,10,0.87,3.7,14,1.0,33,1
55,10,4,0.64,1.4,8,1.0,7,1
60,10,7,0.98,4.0,11,0.7,13,0
47,10,5,0.83,2.0,13,1.4,29,1
60,10,8,0.95,4.7,9,1.5,49,0
32,7.2,4,0.97,1.6,15,1.3,13,1
36,10,4,0.86,2.1,12,0.5,18,1
60,10,1,0.41,4.0,13,1.4,14,0
51,10,1,0.49,2.0,9,0.7,28,1
53,10,8,0.82,2.8,9,0.7,18,1
42,10,9,0.86,1.8,9,1.1,23,1
60,10,3,0.83,2.2,8,0.9,35,0
60,10,7,0.8,3.1,13,1.5,8,0
60,10,3,0.86,2.0,8,1.2,41,0
40,10,6,0.83,1.9,7,0.5,10,1
60,10,2,0.67,4.4,15,1.3,33,0
60,10,4,0.9,2.1,5,0.9,27,0
59,10,6,0.46,1.4,8,0.6,28,1
